BIOCHEMICAL,PATHWAY,ChemRICHClass,PUBCHEM,INCHIKEY,PLATFORM,MASS,RI
palmitate,lipids,,,,lc/ms neg,255.23295,5618
palmitate (16:0),lipid,Palmitic Acids,985,IPCSVZSSVZVIGE-UHFFFAOYSA-N,lc/ms neg,255.23295,5618
"palmitate, methyl ester",lipid,Palmitic Acids,8181,FLIACVVOZYBSBS-UHFFFAOYSA-N,gc/ms,86.9,1843.8
palmitic amide,lipid,Fatty Acids,69421,HSEMFIZWXHQJAE-UHFFFAOYSA-N,lc/ms pos,256.3,5758
palmitoleamide (16:1)*,lipid,Endocannabinoid,,,lc/ms pos late,254.2478,1554
palmitoleate (16:1n7),lipid,Oxazoles,445638,SECPZKHBENQXJG-FPLPWBNLSA-N,lc/ms neg,253.2173,5475
palmitoleoyl ethanolamide,,,,,lc/ms pos late,298.27406,1546
palmitoleoyl ethanolamide*,lipid,Endocannabinoid,9835868,WFRLANWAASSSFV-FPLPWBNLSA-N,lc/ms pos late,298.27406,1546
palmitoleoyl sphingomyelin*,lipid,SM,,,lc/ms polar,745.55012,866
palmitoleoyl-arachidonoyl-glycerol (16:1/20:4) [2],,DG,,,lc/ms pos late,632.5249,2528
palmitoleoyl-arachidonoyl-glycerol (16:1/20:4) [2]*,lipid,DG,,,lc/ms pos late,632.52486,2528
palmitoleoylcarnitine,lipid,CAR,,,lc/ms pos late,398.32649,1357
palmitoleoylcarnitine (c16:1),lipid,CAR,71464547,JFAGPSOZZSTLRF-KHPPLWFESA-N,lc/ms pos late,398.32649,1357
palmitoleoylcarnitine (c16:1)*,lipid,CAR,71464547,JFAGPSOZZSTLRF-KHPPLWFESA-N,lc/ms pos late,398.32649,1357
palmitoleoylcarnitine*,lipid,CAR,,,lc/ms pos late,398.32649,1357
palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1],,DG,,,lc/ms pos late,608.5249,2664
palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*,lipid,DG,,,lc/ms pos late,608.52486,2664
palmitoleoyl-oleoyl-glycerol (16:1/18:1) [1]*,lipid,DG,9543694,FWWLDEIJAPIBES-DATDAJMQSA-N,lc/ms pos late,610.54051,3035
palmitoleoyl-oleoyl-glycerol (16:1/18:1) [2],,,,,lc/ms pos late,610.5405,3154
palmitoleoyl-oleoyl-glycerol (16:1/18:1) [2]*,lipid,DG,,,lc/ms pos late,610.54051,3154
palmitoleoyl-palmitoleoyl-glycerol (16:1/16:1) [1]*,,,,,lc/ms pos late,582.50921,2635
palmitoleoyl-palmitoleoyl-glycerol (16:1/16:1) [2]*,lipid,,,,lc/ms pos late,582.50921,2708
palmitoloelycholine,lipid,AcylCholine,,,lc/ms pos late,340.32101,1385
